ID,Other,Self
1,0.98,1
2,1,1
3,1,0.98989898989899
4,0.99,1
5,0.9494949494949495,0.98
6,0.99,1
7,1,1
8,1,1
9,0.99,0.97
10,0.98,0.97
11,0.93,0.9693877551020408
12,1,1
13,0.99,1
14,1,0.99
15,0.99,0.98
16,0.98,1
17,0.96,0.97
18,1,0.99
19,0.9052631578947369,0.9175257731958762
20,1,1
21,1,0.99
22,1,0.99
23,0.9393939393939394,0.98989898989899
24,1,0.94
25,1,1
26,0.99,0.9797979797979798
27,0.99,0.99
28,0.9895833333333334,0.9489795918367347
29,0.99,1
30,1,0.97
31,0.9897959183673469,1
32,1,1
33,0.9285714285714286,0.9072164948453608
34,0.9797979797979798,1
35,0.9696969696969697,0.898989898989899
36,0.9595959595959596,0.94
37,1,0.99
38,0.98,0.96
